Working memory size: 512MB
Total threads: 16
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   50.92,    5.27,  21.09,      0.125,   53.12,    2.53,  20.21,     0.250,   40.53,    6.62,  26.49
            1,      0.750,   54.58,   14.75,  19.67,      0.375,   54.30,    7.42,  19.77,     0.750,   44.37,   18.15,  24.20
            2,      1.250,   57.29,   23.43,  18.74,      0.625,   59.04,   11.37,  18.19,     1.250,   45.21,   29.69,  23.75
            3,      1.750,   62.88,   29.88,  17.08,      0.875,   61.34,   15.32,  17.50,     1.750,   47.40,   39.65,  22.66
            4,      2.250,   68.83,   35.10,  15.60,      1.125,   67.67,   17.85,  15.87,     2.250,   46.01,   52.51,  23.34
            6,      3.250,   89.99,   38.78,  11.93,      1.625,   90.47,   19.29,  11.87,     3.250,   49.25,   70.85,  21.80
            8,      4.250,  105.07,   43.43,  10.22,      2.125,  104.24,   21.89,  10.30,     4.250,   75.29,   60.61,  14.26
           12,      6.250,  116.33,   57.69,   9.23,      3.125,  116.66,   28.76,   9.20,     6.250,  136.52,   49.16,   7.86
           16,      8.250,  134.46,   65.88,   7.99,      4.125,  135.47,   32.70,   7.93,     8.250,  214.03,   41.39,   5.02
           20,     10.250,  142.41,   77.28,   7.54,      5.125,  143.45,   38.36,   7.49,    10.250,  293.35,   37.52,   3.66
           24,     12.250,  155.97,   84.34,   6.88,      6.125,  157.51,   41.75,   6.82,    12.250,  377.00,   34.89,   2.85
           28,     14.250,  173.02,   88.43,   6.21,      7.125,  170.38,   44.90,   6.30,    14.250,  453.49,   33.74,   2.37
           32,     16.250,  187.03,   93.29,   5.74,      8.125,  187.32,   46.57,   5.73,    16.250,  527.30,   33.09,   2.04
           40,     20.250,  224.51,   96.85,   4.78,     10.125,  224.87,   48.35,   4.77,    20.250,  675.18,   32.20,   1.59
           48,     24.250,  265.61,   98.03,   4.04,     12.125,  265.74,   48.99,   4.04,    24.250,  830.39,   31.36,   1.29
           56,     28.250,  314.93,   96.32,   3.41,     14.125,  313.36,   48.40,   3.43,    28.250,  987.88,   30.71,   1.09
           64,     32.250,  364.03,   95.13,   2.95,     16.125,  363.31,   47.66,   2.96,    32.250, 1150.56,   30.10,   0.93
           80,     40.250,  477.47,   90.52,   2.25,     20.125,  477.48,   45.26,   2.25,    40.250, 1482.31,   29.16,   0.72
          104,     52.250,  650.71,   86.22,   1.65,     26.125,  648.67,   43.24,   1.66,    52.250, 1961.51,   28.60,   0.55
          120,     60.250,  776.29,   83.34,   1.38,     30.125,  778.66,   41.54,   1.38,    60.250, 2273.59,   28.45,   0.47
          128,     64.250,  840.37,   82.09,   1.28,     32.125,  845.34,   40.80,   1.27,    64.250, 2439.00,   28.29,   0.44
          160,     80.250, 1119.63,   76.96,   0.96,     40.125, 1118.05,   38.53,   0.96,    80.250, 3741.87,   23.03,   0.29
          192,     96.250, 1400.79,   73.78,   0.77,     48.125, 1405.75,   36.76,   0.76,    96.250, 4531.54,   22.81,   0.24
