Working memory size: 512MB
Total threads: 16
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   47.17,    5.69,  22.76,      0.125,   46.44,    2.89,  23.12,     0.250,   52.43,    5.12,  20.48
            1,      0.750,   50.40,   15.98,  21.31,      0.375,   48.24,    8.35,  22.26,     0.750,   48.23,   16.70,  22.26
            2,      1.250,   40.82,   32.88,  26.31,      0.625,   49.85,   13.46,  21.54,     1.250,   46.34,   28.97,  23.17
            3,      1.750,   49.85,   37.69,  21.54,      0.875,   43.59,   21.55,  24.63,     1.750,   44.23,   42.48,  24.28
            4,      2.250,   44.78,   53.95,  23.98,      1.125,   56.76,   21.28,  18.92,     2.250,   45.17,   53.49,  23.77
            6,      3.250,   49.62,   70.33,  21.64,      1.625,   55.81,   31.26,  19.24,     3.250,   45.57,   76.58,  23.56
            8,      4.250,   54.42,   83.85,  19.73,      2.125,   43.46,   52.50,  24.71,     4.250,   49.66,   91.89,  21.62
           12,      6.250,   44.58,  150.53,  24.09,      3.125,   46.17,   72.68,  23.26,     6.250,   49.73,  134.93,  21.59
           16,      8.250,   51.30,  172.69,  20.93,      4.125,   53.37,   82.99,  20.12,     8.250,   52.62,  168.35,  20.41
           20,     10.250,   53.54,  205.57,  20.06,      5.125,   65.30,   84.28,  16.44,    10.250,   77.26,  142.45,  13.90
           24,     12.250,   60.55,  217.24,  17.73,      6.125,   71.40,   92.12,  15.04,    12.250,   87.67,  150.04,  12.25
           28,     14.250,   59.10,  258.91,  18.17,      7.125,   56.61,  135.15,  18.97,    14.250,   96.14,  159.16,  11.17
           32,     16.250,   47.48,  367.49,  22.61,      8.125,   51.63,  168.96,  20.80,    16.250,  110.48,  157.94,   9.72
           40,     20.250,   66.66,  326.19,  16.11,     10.125,   77.26,  140.72,  13.90,    20.250,  127.06,  171.13,   8.45
           48,     24.250,   61.80,  421.32,  17.37,     12.125,   59.14,  220.14,  18.16,    24.250,  134.31,  193.86,   7.99
           56,     28.250,   59.53,  509.58,  18.04,     14.125,   82.57,  183.69,  13.00,    28.250,  182.02,  166.65,   5.90
           64,     32.250,  113.42,  305.32,   9.47,     16.125,  101.18,  171.11,  10.61,    32.250,  218.85,  158.23,   4.91
           80,     40.250,   90.99,  474.97,  11.80,     20.125,  129.88,  166.38,   8.27,    40.250,  258.08,  167.46,   4.16
          104,     52.250,  307.55,  364.83,   6.98,     26.125,  309.61,  181.21,   6.94,    52.250, 1052.24,  106.64,   2.04
          120,     60.250,  248.38,  520.93,   8.65,     30.125,  367.66,  175.96,   5.84,    60.250,  933.02,  138.67,   2.30
          128,     64.250,  397.89,  346.77,   5.40,     32.125,  355.19,  194.23,   6.05,    64.250, 1278.44,  107.93,   1.68
          160,     80.250, 1968.76,   21.88,   0.27,     40.125, 1031.39,   20.89,   0.52,    80.250, 1487.39,   28.97,   0.36
          192,     96.250, 2231.44,   23.16,   0.24,     48.125, 1118.53,   23.10,   0.48,    96.250, 1952.46,   26.47,   0.27
          256,    128.250, 2620.05,   26.28,   0.20,     64.125, 1302.53,   26.43,   0.41,   128.250, 1854.11,   37.14,   0.29
          320,    160.250, 3094.97,   27.80,   0.17,     80.125, 1602.98,   26.84,   0.33,   160.250, 1704.34,   50.48,   0.32
          512,    256.250, 4404.15,   31.24,   0.12,    128.125, 2155.91,   31.91,   0.25,   256.250, 2789.05,   49.33,   0.19
------------------------------------------------------------------------------------------------------------------------------
