Working memory size: 512MB
Total threads: 16
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    7.71,   34.79, 139.18,      0.125,    7.46,   17.99, 143.95,     0.250,    6.09,   44.07, 176.28
            1,      0.750,   11.56,   69.69,  92.92,      0.375,    8.47,   47.54, 126.78,     0.750,   11.14,   72.26,  96.34
            2,      1.250,   11.31,  118.71,  94.97,      0.625,   11.26,   59.59,  95.34,     1.250,   12.07,  111.24,  88.99
            3,      1.750,   11.75,  159.86,  91.35,      0.875,   11.34,   82.89,  94.73,     1.750,   12.39,  151.67,  86.67
            4,      2.250,    9.26,  260.90, 115.95,      1.125,   11.95,  101.07,  89.84,     2.250,    9.63,  250.85, 111.49
            6,      3.250,    9.77,  357.29, 109.94,      1.625,    9.67,  180.49, 111.07,     3.250,   10.21,  341.96, 105.22
            8,      4.250,   10.64,  428.93, 100.93,      2.125,   10.93,  208.85,  98.28,     4.250,   10.74,  424.90,  99.98
           12,      6.250,   10.99,  610.75,  97.72,      3.125,   11.59,  289.56,  92.66,     6.250,   13.57,  494.47,  79.11
           16,      8.250,   15.01,  590.20,  71.54,      4.125,   14.77,  299.92,  72.71,     8.250,   16.08,  550.93,  66.78
           20,     10.250,   15.70,  701.23,  68.41,      5.125,   12.34,  446.05,  87.03,    10.250,   13.19,  834.60,  81.42
           24,     12.250,   12.76, 1030.75,  84.14,      6.125,   12.77,  515.09,  84.10,    12.250,   16.77,  784.24,  64.02
           28,     14.250,   13.85, 1104.51,  77.51,      7.125,   11.47,  667.05,  93.62,    14.250,   24.31,  629.43,  44.17
           32,     16.250,   13.42, 1299.98,  80.00,      8.125,   13.68,  637.64,  78.48,    16.250,   25.19,  692.78,  42.63
           40,     20.250,   15.33, 1418.16,  70.03,     10.125,   12.89,  843.09,  83.27,    20.250,   30.86,  704.53,  34.79
           48,     24.250,   17.60, 1479.19,  61.00,     12.125,   17.47,  745.36,  61.47,    24.250,   38.16,  682.27,  28.13
           56,     28.250,   22.37, 1355.80,  47.99,     14.125,   17.33,  875.32,  61.97,    28.250,   45.50,  666.61,  23.60
           64,     32.250,   19.36, 1788.37,  55.45,     16.125,   18.77,  922.34,  57.20,    32.250,   51.24,  675.82,  20.96
           80,     40.250,   28.12, 1536.70,  38.18,     20.125,   28.04,  770.57,  38.29,    40.250,   65.39,  660.92,  16.42
          104,     52.250,   34.42, 1629.95,  31.20,     26.125,   34.43,  814.83,  31.19,    52.250,   85.84,  653.55,  12.51
          120,     60.250,   40.22, 1608.32,  26.69,     30.125,   39.02,  829.06,  27.52,    60.250,   99.82,  648.10,  10.76
          128,     64.250,   41.10, 1678.42,  26.12,     32.125,   41.56,  829.96,  25.84,    64.250,  109.84,  628.05,   9.78
          160,     80.250,   49.73, 1732.57,  21.59,     40.125,   50.54,  852.47,  21.25,    80.250,  143.61,  600.03,   7.48
          192,     96.250,   58.61, 1763.34,  18.32,     48.125,   56.48,  914.87,  19.01,    96.250,  167.57,  616.76,   6.41
          256,    128.250,   79.53, 1731.60,  13.50,     64.125,   77.41,  889.42,  13.87,   128.250,  227.72,  604.73,   4.72
          320,    160.250,   94.90, 1813.22,  11.31,     80.125,   95.42,  901.63,  11.25,   160.250,  272.27,  631.98,   3.94
          512,    256.250,  148.82, 1848.89,   7.22,    128.125,  149.43,  920.63,   7.19,   256.250,  447.56,  614.76,   2.40
------------------------------------------------------------------------------------------------------------------------------
